"Label (Grouping)","Total population 25 years and over with a Bachelor's degree or higher","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!Business","Total population 25 years and over with a Bachelor's degree or higher!!Education","Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","946,766","286,328","99,593","214,901","146,131","199,813","","283,847","100,293","31,435","56,344","25,636","70,139","447,674","125,332","50,772","114,135","65,137","92,298","215,245","60,703","17,386","44,422","55,358","37,376"
"        Margin of Error","±16,284","±10,106","±6,355","±8,088","±7,370","±8,734","","±9,093","±5,498","±3,276","±4,311","±3,061","±6,297","±11,876","±7,462","±4,233","±6,376","±5,234","±5,727","±8,098","±3,936","±2,628","±3,581","±4,098","±3,137"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","30.2%","10.5%","22.7%","15.4%","21.1%","","(X)","35.3%","11.1%","19.9%","9.0%","24.7%","(X)","28.0%","11.3%","25.5%","14.6%","20.6%","(X)","28.2%","8.1%","20.6%","25.7%","17.4%"
"        Margin of Error","(X)","±1.0","±0.6","±0.8","±0.7","±0.8","","(X)","±1.7","±1.1","±1.4","±1.1","±1.9","(X)","±1.4","±0.9","±1.3","±1.1","±1.1","(X)","±1.5","±1.1","±1.6","±1.6","±1.3"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","434,184","172,951","20,976","118,566","33,350","88,341","","122,403","53,484","4,849","31,408","6,190","26,472","201,210","75,867","10,424","57,213","14,944","42,762","110,571","43,600","5,703","29,945","12,216","19,107"
"        Margin of Error","±8,852","±7,083","±2,582","±5,948","±3,588","±5,647","","±5,614","±4,168","±1,169","±3,380","±1,817","±3,715","±6,850","±4,646","±1,843","±4,363","±2,207","±3,993","±4,689","±3,064","±1,111","±2,894","±2,022","±2,127"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","39.8%","4.8%","27.3%","7.7%","20.3%","","(X)","43.7%","4.0%","25.7%","5.1%","21.6%","(X)","37.7%","5.2%","28.4%","7.4%","21.3%","(X)","39.4%","5.2%","27.1%","11.0%","17.3%"
